,time,maxtemp,time,mintemp
0,04-07-2015 13:45,36.01299561,07-02-2015 04:00,-6.6
1,28-08-2016 14:00,34,22-01-2016 01:45,-12.08444521
2,22-06-2017 10:45,32.49071689,06-01-2017 07:45,-10.6131109
3,07-08-2018 14:45,35.62995767,28-02-2018 04:30,-11.88369343
4,25-07-2019 13:15,37.46812948,21-01-2019 06:15,-9.002347383
5,16-02-2020 19:30,18.52089763,01-01-2020 08:15,-4.647415231
